1.1.1	 De Christo deo. Ante saecula qui manes 
1.1.2	semperque nate, semper ut est pater! — 
1.1.3	namque te sine quomodo 
1.1.4	dici, ni pater est, quod pater sit, potest? — 
1.1.5	Bis nobis genite deus, 
1.1.6	Christe! dum innato nasceris a deo 
1.1.7	uel dum corporeum et deum 
1.1.8	mundo te genuit uirgo puerpera: 
1.1.9	Credens te populus rogat, 
1.1.10	hymnorum resonas mitis ut audias 
1.1.11	uoces, quas tibi concinit 
1.1.12	aetas omnigena, sancte, gregis tui. 
1.1.13	Dum te fida rogat, sibi 
1.1.14	clemens ut maneas, plebs tui nominis 
1.1.15	in te innascibilem deum 
1.1.16	orat, quod maneat alter in altero. 
1.1.17	Extra quam capere potest 
1.1.18	mens humana, manet filius in patre; 
1.1.19	rursum, quem penes sit pater, 
1.1.20	dignus, qui genitus est filius in deum. 
1.1.21	Felix, qui potuit fide 
1.1.22	res tantas penitus credulus assequi, 
1.1.23	ut incorporeo ex deo 
1.1.24	perfectus fuerit progenitus dei. 
1.1.25	Grande loquimur et deum 
1.1.26	uerum: ut genitor, quicquid inest sibi, . 
1.1.27	aeternae decus gloriae 
1.1.28	totum in unigenam ediderit deum, 
1.1.29	Hinc unus merito bonus 
1.1.30	ipsum, quod deus est, extra inuidiam sui 
1.1.31	gigni uellet in alterum 
1.1.32	 transformans se, ut est, uiuam in imaginem. 
1.1.33	Istis uera patet dei 
1.1.34	uirtus: cum dederit omnia, non tamen 
1.1.35	ipsis, quae dederit, caret 
1.1.36	cuncta, quae sua sunt, cum dederit, habens. 
1.1.37	Kara progenies dei, 
1.1.38	connatum cui sit omne decus patris! 
1.1.39	nil natae eguit dari, 
1.1.40	sed natum simul est, quicquid erat dei. 
1.1.41	Lumen fulsit a lumine 
1.1.42	deusque uerus substitit ex deo 
1.1.43	uero, non aliud habens 
1.1.44	ortus unigena, quam innascibilis pater. 
1.1.45	Mirum hoc opus est dei, 
1.1.46	aeternus ut incorruptibilis deus, 
1.1.47	ortu qui careat, quia 
1.1.48	sit sempiterna uirtus, quod est deus, 
1.1.49	Non natis, quibus est in bonis, 
1.1.50	ex sese placidus gigneret in deum; 
1.1.51	ac sic in unigena deo 
1.1.52	hoc ipsud ortu, quod genitum est, caret. 
1.1.53	O felix duum unitas! 
1.1.54	alterque cum sit mixtus in altero, 
1.1.55	unum sic faciunt duo, 
1.1.56	sit in duobus cum, quod est in altero.- 
1.1.57	Paret sed genitus patri 
1.1.58	omnemque ad nutum attonitus manet; 
1.1.59	et scire non est arduum, 
1.1.60	quid uelit se sequi, (quem) penes est pater. 
1.1.61	Quanta est genitus in bona! 
1.1.62	nam constitutus in cunctorum exordia 
1.1.63	condensque primum saecula 
1.1.64	aeternum in motum tempora protulit. 
1.1.65	Rebus anterior deus 
1.1.66	cunctis — nam per eum omnia facta sunt —, 
1.1.67	esset cum nihilum modo, 
1.1.68	mundum corporeo condidit in statu. 
1.1.69	Sed nos littera non sinit, 
1.1.70	per quam te genitum concinimus deum, 
1.1.71	. gesta, quae tua sunt, loqui 
1.1.72	carnemque natum, iam qui eras deus., 
1.1.73	Te cunctis dominum modis 
1.1.74	caelorum regem et caelestis gloriae, 
1.1.75	ut cuncta per te condita! 
1.1.76	∗ ∗ ∗ ∗ ∗. 
1.1.77	∗ ∗ ∗ ∗ ∗ 
1.1.78	∗ ∗ ∗ ∗ ∗ 
1.2.1	∗ ∗ ∗ ∗ ∗∗∗ ∗ ∗ ∗ ∗ 
1.2.10	∗ ∗ ∗ ∗ ∗ 
1.2.11	 Fefellit saeuam uerbum factum te caro 
1.2.12	deique tota uiui in corpus irruis. 
1.2.13	Gaudes, pendentem cernis ligno cum crucis, 
1.2.14	tibique membra fixa clauis uindicas. 
1.2.15	Hanc sumis ante pompam tanti proelii: 
1.2.16	sputus, flagella, ictus, cassa harundinis. 
1.2.17	Ibat triumpho morte absumpta, Mors, tua 
1.2.18	deus inferno uinci regno nesciens. 
1.2.19	Kandens frigescit stagnum pallidae Stygis 
1.2.20	rigensque nescit Flegethon se feruere. 
1.2.21	Lux orta uastae nocti splendet inferum; 
1.2.22	tremit et alti custos saeuus Tartari. 
1.2.23	Mors, te peremtam sentis lege cum tua, 
1.2.24	deum cum cernis subdedisse te tibi. 
1.2.25	Non est caducum corpus istud, quod tenes, 
1.2.26	nullumque in illo ius habet corruptio. 
1.2.27	Omnis te uincit carnis nostrae infirmitas; 
1.2.28	natura carnis est connata cum deo. 
1.2.29	Per hanc in altos scandam tacta cum meo 
1.2.30	caelos resurgens glorioso corpore. 
1.2.31	Quantis fidelis spebus Christum credidi, 
1.2.32	in se qui natus me per carnem suscipit! 
1.2.33	Renata sum — o uitae laetae exordia! — 
1.2.34	nouisque uiuo Christiana legibus. 
1.2.35	Sanctis perenne munus praestat hoc dei, 
1.2.36	conformi secum uiuant post haec corpore. 
1.2.37	Terror recedat mortis tandem, Mors, tuae; 
1.2.38	sinu me laetam patriarcha suscipit. 
1.2.39	Uiuam locata post haec in caelestibus, 
1.2.40	dei sedere carnem certa a dexteris. 
1.2.41	Xriste, reuersus caelos uictor in tuos\' 
1.2.42	memento carnis, in qua natus es, meae. 
1.2.43	Ymnos perennes angelorum cum choris 
1.2.44	in hoc resurgens laeta psallam corpore. 
1.2.45	Zelauit olim me in morte satanas: 
1.2.46	regnantem cernat tecum totis sacculis. 
1.3.1	Adae carnis gloriosa et caduci corporis 
1.3.2	in caelesti rursum Adam concinamus proelia, 
1.3.3	per quae primum satanas est Adam uictus in nono.. 
1.3.4	Hostis fallax saeculorum et dirae mortis artifex 
1.3.5	iam consiliis toto in orbe uiperinis consitis 
1.3.6	ad salutem nil restare spei humanae existimat. 
1.3.7	Gaudet aris, gaudet templis, gaudet sanie uictimae; 
1.3.8	gaudet falsis, gaudet stupris, gaudet belli sanguine; 
1.3.9	gaudet caeli conditorem ignorari gentibus. 
1.3.10	Inter tanta dum exultat nostrae cladis funera, 
1.3.11	deo audit in excelsis nuntiari gloriam 
1.3.12	et in terra pacem hominum uoluntatis optimae. 
1.3.13	Terret coetus angelorum laetus ista praedicans; 
1.3.14	terret Christum terris natum nuntians pastoribus, 
1.3.15	magnum populis hinc futurum desperatis gaudium. 
1.3.16	Errat partes in diuersas tantis rebus anxius; 
1.3.17	quaerit audax, ecquis hic sit tali dignus nuntio, 
1.3.18	nihil ultra, quam commune est, terris ortum contuens. 
1.3.19	Cernit tamen is, quod Iohannes in desertis praedicet 
1.3.20	aquis mersans in Ιο̢ Iordanis cunctis poenitentiam, 
1.3.21	quam sequatur confessorum criminum remissio. 
1.3.22	Inter turbas, quae frequentes mergebantur, accipit 
1.3.23	uocem e caelo praedicantem: meus est hic filius; 
1.3.24	hunc audite! hic dilectus, in quo mihi complacet. 
1.3.25	Cernit hominem, cernit corpus, quod Adae perlexerat; 
1.3.26	nihil ultra uox honoris afferebat desuper; 
1.3.27	scit terrenam subiacere mortis legi originem. 
1.3.28	Ad temptandum multas artes priscae fraudis commouet; 
1.3.29	quaerit audax tempus, quod sit∗∗∗∗∗∗∗∗∗∗∗∗ 
1.3.30	∗∗∗∗ ∗∗∗∗ ∗∗∗∗∗ ∗∗ ∗ ∗∗∗∗∗∗∗∗∗∗ 
1.3.31	∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗ 
1.3.32	∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗∗ 
2.1.1	Hymnum dicat turba fratrum, hymnum cantus personet; 
2.1.2	Christo regi concinentes laudem demus debitam. 
2.1.3	Tu dei de corde uerbum, tu uia, tu ueritas, 
2.1.4	Iesse uirga tu uocaris, te leonem legimus. 
2.1.5	Dextra patris, mons et agnus, angularis tu lapis, 
2.1.6	sponsus idem uel columba, flamma, pastor, ianua. 
2.1.7	In profetis inueniris nostro natus saeculo, 
2.1.8	ante saecla tu fuisti factor primi saeculi. 
2.1.9	Factor caeli, terrae factor, congregator tu maris 
2.1.10	omniumque tu creator, quae pater nasci iubet. 
2.1.11	Uirginis receptus membris Gabrielis nuntio 
2.1.12	crescit aluus prole sancta, nos monemur credere 
2.1.13	Rem nouam nec ante uisam, uirginem puerperam. 
2.1.14	tunc magi stellam secuti primi adorant paruulum, 
2.1.15	Offerentes tus et aurum digna regi munera. 
2.1.16	mox Herodi nuntiatum; inuidens potentiae 
2.1.17	Tum iubet paruos necari, turbam fecit martyrum. 
2.1.18	fertur infans occulendus?, Nili flumen quo fluit. 
2.1.19	Qui refertur post Herodem nutriendus Nazareth. 
2.1.20	multa paruus, multa adultus signa fecit caelitus, 
2.1.21	Quae latent et quae leguntur coram multis testibus, 
2.1.22	praedicans caeleste regnum dicta factis adprohat. 
2.1.23	Debiles facit uigere, caecos luce inluminat, 
2.1.24	uerbis purgat leprae morbum, mortuos resuscitat. 
2.1.25	[Uinum quod deerat hydriis, mutari aquam iubet
2.1.26	nuptiis mero retentis propinando poculo].
2.1.27	Pane quino, pisce bino quinque pascit milia 
2.1.28	et refert fragmenta cenae ter quaternis corbibus;
2.1.29	Turba ex omni discumbente iugem laudem pertulit. 
2.1.30	duodecim uiros probauit, per quos uita discitur. 
2.1.31	Ex quis unus inuenitur, Christi ludas traditor; 
2.1.32	instruuntur missi ab Anna proditoris osculo. 
2.1.33	Innocens captus tenetur nec repugnans ducitur, 
2.1.34	sistitur, falsis grassatur offerendus Pontio. 
2.1.35	Discutit obiecta praeses, nullum crimen inuenit. 
2.1.36	sed cum turbae Iudcorum pro salute Caesaris 
2.1.37	Dicerent Christum necandum, turbis sanctus traditur, 
2.1.38	impiis uerbis grauatur, sputa, flagra sustinet. 
2.1.39	Scandere crucem iubetur innocens pro noxiis, 
2.1.40	morte carnis, quam gerebat, mortem uincit omnium. 
2.1.41	Tum deum clamore magno patrem pendens inuocat; 
2.1.42	mors secuta membra Christi laxat stricta uincula. 
2.1.43	Uela templi scissa pandunt, nox obscurat saeculum; 
2.1.44	excitantur de sepulchris dudum clausa corpora. 
2.1.45	Adfuit Ioseph beatus, corpus mirra perlitum 
2.1.46	linteo rudi ligatum cum dolore condidit. 
2.1.47	Milites seruare corpus Annas princeps praecipit, 
2.1.48	ut uideret, si probaret Christus, quod spoponderat. 
2.1.49	Angelum dei trementes ueste amictum candida, 
2.1.50	quo candore claritatis uellus uicit sericum,
2.1.51	Demouet saxum sepulchro, surgit Christus integer; 
2.1.52	haec uidet Iudea mendax, haec negat, cum uiderit. 
2.1.53	Feminae primum monentur saluatorem uiuere; 
2.1.54	quas salutat ipse mestas, conplet tristes gaudio. 
2.1.55	Seque a mortuis paterna suscitatum dextera 
2.1.56	tertia die redisse nuntiat apostolis. 
2.1.57	Mox uidetur a beatis, quos probauit, fratribus; 
2.1.58	quod redisset, ambigentes intrat clausis ianuis. 
2.1.59	Dat docens praecepta legis, dat diuinum spiritum, 
2.1.60	spiritum dei perfectum, trinitatis uinculum. 
2.1.61	Praecipit totum per orbem baptizari credulos 
2.1.62	nomen patris inuocantes, confitentes filium. 
